Year,Day,day-grid-trap_code,grid-trap-date_code,Handler,capture info,obs?,drop,TagNo,BloodNo,RNA Seq,SNV pos,SNV titer,Treated or control,Treatment,Effective treatment,days since previous treatment/ctl,overwinter survivor,Grid,Trap Location,Species,Tail to body,Sex,Age,Class,Vagina,Nipples,Pregnant,F-Repro?,Testes,M-Repro?,Body,Total length,Tail,Length code,Weight (g),Fleas,Ticks,Botflies,Ecto PA,Ecto Spp Rich,Fecal Sample Weight,Poo Weight,Poo Weight 2,FEC done by,new FEC 2019,FEC 0s,Endo PA,Endo Spp Rich,Endo Total Egg/g,Coccidia PA,Coccidia Spp Rich,Cocc Egg/g,Edel PA,Edel Egg Count,Edel Egg/g,EarizA PA,EarizA Egg Count,EarizA Egg/g,EarizB PA,EarizB Egg Count,EarizB Egg/g,Nem PA,Nem Spp Rich,Nem Egg/g,Nem PA no larvae,Nem rich no larvae,Nem egg/g no larvae,Aamer PA,Aamer Egg Count,Aamer Egg/g,Spero PA,SperoEgg Count,SperoEgg/g,Camer PA,Camer Egg Count,Camer Egg/g,NemA PA,NemA Egg Count,NemA Egg/g,NemB PA,NemB Egg Count,NemB Egg/g,CapBub PA,CapBub Egg Count,CapBub Egg/g,Nem Larvae PA,Nem Larvae Count,Nem Larvae/g,CapWorm PA,CapWorm Egg Count,CapWorm Egg/g,Strongy PA,Strongy Egg Count,Strongy Egg/g,Cestode PA,Cestode Spp Rich,Cestode egg count,Cestode Egg/g,Hdim PA,Hdim Egg Count,Hdim Egg/g,Hcit PA,Hcit Egg Count,Hcit Egg/g,CestC PA,CestC Egg Count,CestC Egg/g,RNA seq,Zymo feces,Feces DNA label,Lympho,pct lympho,Neutro,pct neutro,Mono,pct mono,Baso,pct baso,Eosino,pct eosin,Total WBC,Eye spots
2017,29-Aug,114-42976,PO2-B2-42976,CTSB,cap,"maybe switch tail and body, but no evidence so keeping as written",0,114,2306,1,0,0,C,C,0,,,PO2,B2,PM,1.103448276,M,A,3,,,,,N,N,87,183,96,,19.5,0,0,0,0,0,1.937,-1.472,0.465,TE,entered from SNV positives 2016-2017 and remaing FECs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,,0,0,0,0,0,0,0,,,,2306,,,,,,,,,,,,,,
2016,3-Jun,926-42524,SP2-A6-42524,CT,cap,"can't use, mixed up with 925",1,926,1351,0,0,0,C,C,0,,,SP2,A6,PL,0.7,M,A,3,,,,,N,N,100,170,70,,21,0,1,0,1,1,,0.379,0.379,AT2016,,,1,,2796.83377,1,,2796.83377,1,10,26.3852243,1,1042,2749.340369,1,8,21.10817942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,16-Jun,926-42537,SP2-B7-42537,CT,cap,,0,926,1382,0,0,0,C,C,0,13,,SP2,B7,PL,0.757575758,F,A,3,C,Y,Y,Y,,,99,174,75,,28.5,0,1,0,1,1,,0.684,0.684,AT2016,,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,1-Jul,926-42552,SP2-B6-42552,CT,cap,,0,926,1449,0,0,0,C,C,0,15,,SP2,B6,PL,0.765306122,F,A,3,O,N,N,Y,,,98,173,75,,25,0,,0,0,,1.725,0.248,0.248,IN,,,1,4,22439.51613,1,3,22161.29032,1,846,3411.290323,1,4576,18451.6129,1,74,298.3870968,1,1,278.2258065,1,1,278.2258065,0,0,0,0,0,0,1,69,278.2258065,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,28-Jul,926-42579,SP2-B8-42579,CT,cap,,0,926,1516,0,0,0,C,C,0,27,,SP2,B8,PL,0.77,F,A,3,C,Y,N,Y,,,100,177,77,,33,0,0,0,0,0,2.135,0.658,0.658,JH,,,1,3,2066.869301,1,3,2066.869301,1,283,430.0911854,1,1052,1598.784195,1,25,37.99392097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,11-Aug,926-42593,SP2-A8-42593,SB,cap,"dup blood tube #, canÍt use for RNA seq, was actually PL",0,926,1545,,0,0,C,C,0,14,,SP2,A8,PL,1.074074074,F,A,3,O,Y,N,Y,,,81,168,87,,17.5,0,0,0,0,0,,1.089,1.089,TA,,,1,3,352.6170799,1,3,352.6170799,1,22,20.2020202,1,356,326.9054178,1,6,5.509641873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,4-Jun,928-42525,SP1-H8-42525,CT,cap,,0,928,1415,0,0,0,C,C,0,,,SP1,H8,PL,0.866666667,F,A,3,C,N,N,N,,,75,140,65,,16,1,1,0,1,2,1.783,0.306,0.306,IN,,,1,,1447.712418,1,,1447.712418,1,1,3.267973856,1,427,1395.424837,1,15,49.01960784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,7-Jun,930-42528,BC2-G1-42528,CT,cap,,0,930,1412,0,0,0,C,C,0,,,BC2,G1,PL,0.842105263,F,A,3,C,N,N,N,,,76,140,64,,16,0,0,0,0,0,,0.243,0.243,AT2016,,,1,,20469.1358,1,,20469.1358,1,2,8.230452675,1,4971,20456.79012,1,1,4.115226337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,20-Jun,930-42541,BC2-B2-42541,CT,cap,,0,930,1392,0,0,0,C,C,0,13,,BC2,B2,PL,0.795180723,F,A,3,C,N,N,N,,,83,149,66,,18.5,0,0,0,0,0,,0.122,0.122,AT2016,,,1,,24.59016393,1,,24.59016393,0,0,0,1,3,24.59016393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
2016,7-Jun,932-42528,BC2-D1-42528,CT,cap,,0,932,1413,0,0,0,C,C,0,,,BC2,D1,PL,0.790123457,F,A,3,C,N,N,N,,,81,145,64,,14,0,0,0,0,0,1.709,0.232,0.232,IN,,,1,,90.51724138,0,,0,0,0,0,0,0,0,0,0,0,1,1,90.51724138,1,1,90.51724138,0,0,0,0,0,0,1,21,90.51724138,0,0,0,0,0,0,,,,,,,,,,N,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,,,,,,,,
